text,label,notes
"Am I crazy, or maybe biased, for thinking that neither of the Scotland penalty shouts should have been called? There's barely any contact",reaction,
"The worst thing VAR has done is make everyone go crazy when fouls aren't given for borderline minimal contact decisions. The first couple of years of VAR they were way too likely to give penalties for microscopic contact on players. Now they're trying to move away from that to make the threshold for contact much higher, which is the right thing to do. They just should have done it this way to start with.
",reaction,reaction + analysis
I love Big Dunc as a pundit. He's like Limmy's plasterer character,hot_take,
"Scotland under Clarke quite honestly serve up shite football in major tournaments, but the fact they’ve made 3 major tournaments under him is enough to keep him. It’s a bit of an awkward one. Plus they’ve usually been in tough groups.
",reaction,
A lot of these matches involve 1 team scoring a few goals in the first half and then parking the bus for 45+ minutes and I'm getting really really tired of it,analysis,reaction + analysis
I have been wrong about every game I'd think would be interesting so far lmao,reaction,
England v Croatia was the biggest shocker. Probably the most entertaining match so far,reaction,
"God i cant stand steve clarke, this team selection is pants",hot_take,
"I’m in love with that Saibari goal, proper world cup goal. Rest of the match was dire though",hot_take,
"Some of the refs in this tournament having been treating their games like the thunderdome. There are no rules. Nothing is a foul. If you die, you die.
",hot_take,
Watching a game where the referee is completely biased against a side you hate hits like crack,hot_take,
"Alright this is a dumb question, but assuming Türkiye win today, isn't there a scenario where they could win by something ludicrous like 20-0 (I know this doesn't actually happen, just for the hypothetical) and push us out of the best 3rd placers, meaning it's not mathematically secure? Because head 2 head each of the top 3 in our group would have won against each other so it would go to goal difference? only asking because most news outlets are reporting it as mathematically secured",analysis,
"5 points mathematically secures you qualification, it's not possible for 8 3rd placers to get 5 points i believe",analysis,
"Good brain teaser tbh, maths is not my strong point but if there’s a draw in the group then I’m fairly sure it’s mathematically impossible for 3rd place to have more than 5 points. Plenty of groups have had draws so it’s mathematically impossible for the US to not qualify. The only scenario where 3rd can be on 6 pts is if the top 2 are on 6 pts
",analysis,
"So I watched the replay and I don’t understand why Australia didn’t get a penalty when irankunda went up for the header, then the defender pushed him and the ball just falls straight onto the Americans arms. It’s not a natural position since he’s pushing the opponent and the ball had been skied so not a deflection. I think the only reason it wasn’t given was because no one appealed",analysis,
"IIRC it was headed down onto his arm from very close range. And putting your hands on an opponent when you’re contesting a 50/50 is usually considered natural position unless it’s enough for a penalty, which this wasn’t.",analysis,
"literally no one thought that. US were clearly the best one in the group, Turkey being overrated in my opinion.",reaction,
"If Scotland wins we'll witness history, they will advance out of a group for the first time ever.",reaction,
They are very tactically sound. Just as much as any other team. Also super creative. It will be really interesting to see them face a team that can really put them on the back foot,reaction,
"I know this is a weird complaint but one thing I dislike about the expansion is that getting out of groups is now as good as making it to the WC in the first place (top 32). And that's ignoring how much weaker the groups obviously are. Seeing these group stage / advancement stats bothers me when things are this severely out of balance compared to the past.
",reaction,reaction + analysis
I'm honestly more checked out of the groups than I've ever been (time zone and number of games big factors too). Hoping R32 onwards are hype,reaction,
"Helps that they're playing (comparatively) weak opponents, though. The entire plan is built around quick transitions and a bit of chaos in midfield, because they don't have the players there to control possession and build patiently. That can be really dangerous in an attacking sense (as we're seeing), but it's also dangerous in a defensive sense: A team better at counterpressing them might well carve them open quite easily.
",analysis,
"The non-penalty call is insane, even worse than Mbappe's. It's not even a 99/1, it should be called 100% of the time.",hot_take,
Shocking game but probably the most fun I’ve had watching outside of the Sweden game. The ref when announcing the red card had me in tears.,reaction,
I was praying for Deniz Gul to come in and save Turkey from being eliminated at the World Cup.. So now we’re stuck with him in Porto for another year... no Turkish club will fall into the trap of buying this flop,reaction,
This Turkey performance reminded me of 2022 and 2018 spain but worse,reaction,
lol this ref is so unbothered,hot_take,
i sense a goal coming shortly.,reaction,
You can tell that Curaçao is tired.,reaction,
LOL ref crazy for this one,hot_take,
Absolute disappointment of a World Cup for t Ecuador. YOU WERRE SUPPOSED TO BE A POWERHOUSE,hot_take,
Damn these refs are just making sure Ecuador loses,reaction,
This ref just letting everything go,reaction,
"I like this ref, keep the game going back and forth",reaction,
This game is making me question my understanding of what a foul is lol,reaction,
"Its so funny that they still fall over at the slightest touch and pretend to be hurt, even after 77 minutes of the ref ignoring their bullshit. Would think that at some point they would learn that it would be better to keep playing.",reaction,
"If it wasn’t for Room, it’s like, 6-0",reaction,
Columbus Crew legend Room,hot_take,
"The record for the most saves in a single FIFA World Cup game is 16 saves, set by United States goalkeeper Tim Howard against Belgium during the 2014 World Cup Round of 16.",analysis,
"Bless the ref, he's just letting them play.",reaction,
15 saves on the night so far is crazy,reaction,
Oh no Tim Howard record at risk of being broken,reaction,
That’s one of the coolest saves I’ve ever seen,reaction,
Ecuador please score I love you,reaction,
Crazy that they played without goalkeepers before 1966,reaction,
No doubt who is getting MoTM award.,hot_take,
I feel like there's been a FIFA refereeing directive to allow physical tussles (to an extent) so that the games aren't constantly stopping,analysis,
It’ll be great if these idiots shot anywhere but straight at the keeper,hot_take,
"Even if Curacao had one man less, Ecuador would not score",hot_take,
"I blame the coach and the federation for the performance of Ecuador, there needs to be change.",hot_take,
How did this goalie get scored on 7 times jesus,reaction,
This is it for Ecuador. Now or never,hot_take,
Ecuador might as well give it up Eloy Room gave up all the goals vs Germany nothing is getting by him now.,hot_take,
Seems like a big drop off in the Curacao attacking subs unfortunately.,hot_take,
oh but against Germany keeper ate 7 lmaoooo,hot_take,
"This World Cup is somehow setting the record for most red cards, but it also seems like theyve been letting way more go then usual too - no middle ground.",analysis,
Yo I love this version of reffing. These refs this tournament aren’t giving out anything and any foul that gets called is being 100% earned.,reaction,
"Agree, ref is to make sure game doesnt get out of hand, game flows much better without constant whistle",reaction,
The Curaçao goalie is going to be like the Cape Verde goalie.,hot_take,
They just let coaches wear whatever they want these days don’t they lol,reaction,
Ref needs to start carding simulation,reaction,
"idc that he’s 37, some big club give him a contract rn, even 2 years as the 3rd keeper",reaction,
"Ref is consistent and not calling flops, love it",reaction,
Awful ball from Caicedo,hot_take,
"Argentina winning 4 years ago did mask that Brazil was bounced in the quarters, Uruguay and Ecuador couldn't get out of the group, and Peru lost the playoff which was the first time South America lost that playoff in 16 years. This on paper is one of the worst teams Brazil has sent to a WC in my lifetime, Uruguay is still good but has kinda stagnated and Chile is a dumpster fire right now. Bolivia being able to grab the playoff spot (only to lose to Iraq) is further indictment of the region IMO. South America is down right now",analysis,
Kastaneer is built like a boulder,hot_take,
Convince me Kastaneer isnt an enforcer they pulled from the stands,reaction,
Kastaneer ran entirely out of patience.,reaction,
Ref lets advantage go (backwards that is) and then 19 just separately bulldozes someone,analysis,
What is he doing? Pointless foul to give them a free kick,reaction,
According to this ref there can be no fouls unless they warrant a yellow card.,analysis,
Ecuador can’t put the ball in the hoop,hot_take,
This ref has lost control of the game,reaction,
Terrible body language from Ecuador. Absolutely no belief left in that camp that they can beat Germany.,reaction,
Room was an absolute stud tonight,hot_take,
The fact that Curacao can still get second after getting rekt 7-1 by Germany is insane.,reaction,
"If Curacao don't get a clean sheet I will be so upset, what an absolutely monumental performance. These guys are my second team now, absolutely bloody fantastic.",reaction,
"Set piece FC, you have failed me.",hot_take,
"This guy plays for Miami FC. No, not Messi's Miami. He plays in the second division of US football and has the third most saves in a World Cup game in history",analysis,
"By how it’s looking, Room could very well beat the record of 16 saves in a World Cup game set by Tim Howard in 2014 :o",hot_take,
During the qualification process for this world cup he didnt play a single game for his club for a year while still playing for Curacao.,analysis,
There's Room but not for Ecuador.,reaction,
"Between this, Moreria against Spain and Cucho’s assist for Columbia…. 2023 Columbus Crew against the world motherfuckers, Arfsten brace against Turkey confirmed",analysis,
"People forget that he won the euros at 17 while being Spain’s best player, he’s already one of the most untouchable players right now in terms of legacy",analysis,
"I will always root against Spain because I enjoy holding on to my irrational bitterness towards certain national teams, hate-watching is fun idc, but I love this kid. He's a joy to watch, and he has a great attitude considering he's a literal child who was put in the biggest spotlight possible.",reaction,
"All 3 of those were bizarre to be fair, like all shoulda been saves. He might be on to something.",hot_take,
"The ball design is similar the Jabulani, which had big problems with movement. They supposedly added a lot of features to mitigate the Jabulani's tendency to knuckle easily. Could be that it's still an issue somewhat. There have definitely been a lot of ""keeper really should have saved that, wtf"" type goals.",analysis,
"Keep in mind that for every WC we have a new ball and the producers always introduce something new to it to showcase their products. The size and the weight is the same, but small details like the way you stich or glue it together have an impact on the way the ball moves. The Jabulani is probably the best example. The fact that the ball was too smooth, chaged the way it rotates at high speeds which affected the direction it goes. Keepers hated it, but fans loved it because it gave us a lot of bangers.",analysis,
"FIFA have specs as to what the ball has to be, but there is still wiggle room around that as long as you adhere to the specs. For instance weight, pressure, circumference. But things like panel design, stitching, material has a lot of wiggle room for what is allowed and these being different can alter the characteristics of how the ball performs. Look at the panel design or this ball for instance, Adidas have used large unusually designed panels that flow around the ball. If you look where the seems meet, something like this could effect wind resistance as the air travels across the surface of the ball when it's kicked - versus a traditional ball where the panels are equal all around the ball, meaning in theory it could be more stable as it flies through the air.",analysis,
Fevernova was a really annoying ball for GKs aswell,hot_take,
Joe Hart is a breathe of fresh air for punditry.,hot_take,
Joe always has good input. A perspective that isn’t parroted.,hot_take,
I think in 2006 (it could have been a different year) WC they found the balls curved more compared to previous WC’s.,analysis,
Joe Hart is an absolute joy,hot_take,
Good old Joe is brilliant every time he does punditry,hot_take,
Been playing all our games with this ball since March and I think it’s the closest to a perfect match ball they’ve ever gotten. I’ve seen zero keepers be even slightly put off by it. It’s definitely got movement and swerve but that happens with every single fifa quality match ball for almost 2 decades now.,analysis,
"Hart us always positive, and always sticks up for the goalies by offering insight",hot_take,
There is never anything like this in hockey unless it is Kevin Bieksa.,hot_take,
"It makes sense. This years ball has only 4 panels total. The average for a football nowadays is around 10-12. It could affect drag and speed maintenance in general, so keepers would time it slightly incorrectly.",analysis,
"Some WC cycles ago, the germans played their regular season before the WC using the official WC ball as the official ball of the bundesliga. I think they won that year. And I can't remember which WC it was.  The characteristics of the ball shouldn't be a surprise. ",analysis,
Love Joe so much. Should be City Ambassador already,hot_take,
I actually remember watching a YouTube video reviewing the 2026 ball. The keeper in the video mentioned how the speed of the 2026 ball is definitely faster when it comes off the players cleats/boots.,analysis,
"The ball has a 5 g sensor in one of the patches. So it's no lopsided, they added 4 counter weights so I'm guessing this is having an impact",analysis,
"Rob Greene has talked about this before in reference to the Jubulani balls used in the 2010 world cup which made them unpredictable, especially when it came to how they bounced which, whilst not an excuse like he said, caused him to misjudge it when he made the mistake against the US. How a ball is made can certainly play a role.",analysis,
That ball was hilariously floaty.,hot_take,
"Nah, Pickford is just a crap keeper.",hot_take,
"As someone who’s played a fair amount as a keeper although he may be correct i think using the keepers as the reference point and not the ball isn’t correct. Goalkeepers dont have a set speed that we think the ball will come at, it depends how it leaves off the foot and the trajectory, but its very much possible its retaining airtime or gaining speed throughout which is irregular. Most importantly i dont think hart would say this just based on videos of pickford or luca zidane. He must have talked or heard something. Because that mendy used to be a ucl winning keeper isnt a good enough reason",analysis,
Old school balls weren’t made to be tipped lol,hot_take,
The only dribbler I have seen who is comparable is Maradona. Doesn't matter what way they move the balls wants to join them,hot_take,
This is gonna be in every YouTube Messi aura edit,hot_take,
"Yes, a competition to come out of zizou's balls",hot_take,
"This mf is still insane man, INSANE. Greatest ever by far.",hot_take,
"Noticed that all these long range shots mbappe, sweden match, messi and few others the ball tends to move a lot too",analysis,
"That was a terrible goalkeeper, the ball was literally right next to him",hot_take,
There’s a referee in Mexico who started recording his games with a GoPro 10 years ago and claimed this would be the future. His channel is called arbitrocam on YouTube.,analysis,
"Messi: The man, the missile launcher.",hot_take,
Im a die hard ronaldo fan but watching messi play this way just leaves me mesmerized and a little jealous thinking that will Ronaldo bring his noodle hair character to this world cup or not,reaction,
It's like that old Nike POV advert from 2008.,hot_take,
Here in Australia they mic up the umpires in AFL games and you can hear them for most of the game. I’d love to be able to hear what that’s like in football too.,analysis,
"This view is underrated. This goal, when I saw it on TV, I felt it could have been saved by the goalkeeper. But seeing it now through the refcam, Messi caught the goalie by surprise and he maybe reacted a microsecond too late",analysis,
"If I was the ref, I'd be jumping and puching the air after witnessing that",hot_take,
None of the ‘big’ club players on this squad have an ounce of leadership or intangibles just paid mercenaries,hot_take,
Seattle is the best (both types of) football city in the US. It’s even better that the stadium is walkable. Love that they closed the streets around the stadium for the World Cup. Went to the Belgium/egypt match and the area around the stadium was rocking. Bars and cafes still open.,analysis,
USA fans have been great. My take is everything us Europens know about America’s relationship with football is filtered through your media/advertising machine before it gets to our eyes. Loads of spontaneous videos flying about this WC show the yanks that do like football are well up for it,reaction,
Usa fans have been great this tournament,reaction,
Rob Stone is such an enthusiastic goober and I'm here for it. He's so happy to be repping our country as a broadcaster.,hot_take,
"Would love nothing more than for the somewhat more casual football fans here experiencing this and the vibes, decide to get slightly more serious and go to MLS or USL games. Virtually every city now has a pro team or multiple. Many MLS stadiums are solid and have good atmospheres but they can always improve, and USL is often much more accessible but people don’t even know about it",analysis,
Jack White writing this song in a garage in Michigan certainly didn’t expect it to be an American sports anthem lol,reaction,
"this sport is just the most beautiful thing on the planet, no matter how hard fifa, uefa etc try to destroy it",hot_take,
"Europeans subconsciously gatekeep soccer fandom when saying stuff like this. You guys do it all the time that it starts to reek of some sort of entrenched condescending colonialism or worse. They never think of the millions and millions of Latin Americans who watch their Latin American teams play. They don't acknowledge the people who follow teams that have little to do with Europe or the States. The country that literally championed ""all day soccer"" decades before Europe decided to get with the program? On any given weekend, there are up to 15 MLS matches available to US fans... and about 50 European matches, and those European matches happen all throughout the day, often with no-competing sports on at the same time.  Meanwhile, MLS stadia are healthily full, the league is the second-most attended in the world. And while they do have to compete with 4 firmly-entrenched American sports leagues, they are doing alright for themselves.
Also, there is no ""the"" in front of ""MLS."" When an acronym is primarily used as the main identifier, you don't use ""the."" For example: NATO. UNESCO. ",analysis,
"I was at pioneer square in Seattle for the game and I’ve never seen the city like this. The was well and truly alive and happy. Everyone was enjoying. Drinks flying, people from US, Australia, Morocco, Brazil all dancing and cheering together throughout the day. Absolutely immaculate atmosphere throughout the day. I was there from 8am to 8pm and I’m glad I spent the whole day there. Really hoping US win their r32 game and come back to Seattle for the r16 game. That’ll be even louder",reaction,
"I thought Rob Stone was gonna start crying tears of joy lol. Dude says some dumb stuff, but he loves the game.",reaction,
So hype to see this as a long time soccer fan in the US. So hard to get people to sing and chant here which can really kill the atmosphere at a soccer game (or any sports event imo). Hopefully we find our voice to support the team this run,reaction,
Give them two weeks and the will forget about soccer for another 4 years,hot_take,
Most European fans are tournament fans too and don't really care about club football. That's okay,hot_take,
Happy days for King Willem Alexander after Curacao's unlikely draw and Netherlands's big win,hot_take,
"I know it's just Instagram, but when the game ended Room had 169k followers and now it's 500k. Thats fun to see.",analysis,
Curaçao with more world cup points than Italy achieved in 14 years,analysis,
"Nobody in the Ecuador squad has double-digit goals for their country except the captain who's well past his prime, and his finishing was on show for the world to see tonight. Some world class defensive midfielders/defenders, but it's been a hot minute since they've got a great offense.",analysis,
Embarrassing. Ecuador needs to head home now and fire that corny looking coach with his long silky hair,hot_take,
"If Curaçao wins against Ivory Coast and Ecuador loses or draws against Germany, then they would be eliminated. In the other scenarios, they could qualify as runners-up or as one of the eight best third-placed teams. I described the worst-case scenario for them.",analysis,
They can still get second or best third. If they beat Germany that is probably team B. They will have 4 points so if Ivory coast lose they surpass them and if IC wins then they get 3rd. Curacao can get 2 or 3 too if they beat IC. So it is an open group still.,analysis,
"Ecuador can sneak in as a 3rd place team with 4 points, if Ivory Coast beat or draw with curaçao",analysis,
"It was a horrible game, in terms of finishing to score. I do not think Ecuador was better than against Ivory Coast. They just do not know how to score, but the coach who should be fired also is to blame for a bad line up",hot_take,
eh ecuador defense wasn't as good as you'd expect vs curacoa given how much of their talent is ditributed there,hot_take,
Refs have no doubt been instructed to let them play but this was ridiculous. I saw conservatively 20 uncalled obvious fouls.,analysis,
"just going to say, the level of physicality the refs have been allowing so far cannot continue. I am enjoying it as players are diving less and are expecting less calls, but as teams become more desperate heading into the knockout stages, refs will continue to lose control of games, especially when teams on the cusp of elimination are playing",reaction,
South American countries that aren’t part of the big three have done terrible in the World Cup post 2014. It’s probably because they don’t produce great strikers anymore,analysis,
Insane that Curaçao’s two greatest achievements (making the WC and their first point at the WC) have been 0-0 draws. Even more insane is that both matches were very much entertaining.,analysis,
Thats THREE of the five groups that have completed 2 games to end with the Pot 3 and 4 teams drawing.,analysis,
"Wow that was intense for a 0-0 match. Ecuador completely dominated this game, but Room played an unreal game for Curaçao. Congrats to Curaçao for getting their first ever World Cup point!",reaction,
Ecuador’s only shot is Germany easing up after topping the group and sending in their entire bench to play 90min to rest the starters,analysis,
"Room with an outstanding performance there, and a first point, no doubt the entire 150k on the island will be going crazy right now, and Room a national hero",analysis,
The fact that Curacao can still get second after getting rekt 7-1 by Germany is insane.,reaction,
They just need to have this happen on a falling apart field to get the full experience of what happens in this part of the world.,reaction,
Curacao and Cape Verde with their first ever World Cup points. Yeah this is the best World Cup ever.,reaction,
"what a pathetic display, the urgency came way too late",reaction,
Incredible. Fans and manager crying. This is what tournament ball is about,reaction,
Ref caused such an anti climactic ending lol,reaction,
The Ecuador players crying does make me feel really bad.,reaction,
Completely valid point. Jackson Irvine may just be the most non-problematic footballer out there.,reaction,
Yeah Casemiro said he had closely followed his exploits and excellent goal scoring form for Burton Albion in the 2016/17 Championship season,analysis,
Irvine is such a stud man. He could have 2 left feet and Id still be proud of having that dude playing for my club,reaction,
This is the second world cup in the USA that he's coaching. He was already there 32 years ago.,analysis,
"Bro I remember this name from LNF manager 2002, he was celtic's manager back then and the only AI playing with 3 central defenders. Never leaving celtic either even at 150 years old",analysis,
"He also stepped down in February to care for his daughter, who received positive chemotherapy results by the end of March. He came back to coach the team for the World Cup and managed to get this result? Hell, I’m tearing up also",analysis,
The fans hate it. Of course it's here to stay.,hot_take,
When you hear Frenkie talk about football he’s 100% going to be a manager when he retires,hot_take,
"He does have a wide passing range but he doesn't spam long passes or through balls especially when he plays as a 6. He focuses more on retention, short passes and passing it into space for the other player to progress the ball",analysis,
He has been fantastic so far together with Gravenberch. Just because we don’t have a Sneijder type player anymore some of our pundits blame these two for not being creative enough.,reaction,
"De Jong actually plays a lot of progressive passes though. If someone actually thinks he’s not a good player, you should probably disregard their footballing input.",hot_take,reaction + hot_take
"I think he’s great at ball retention but i think he also takes it too far sometimes. He still needs to improve his passing range, his skill is important and i dont see why people focus on his negatives instead of accepting who he is. Martin odegaard has the same issues a bit and arsenal still play around him",reaction,
This is especially true during international tournaments when large swaths of fans who don’t even watch football tune in and inevitably start expressing their dissatisfaction with certain players in their national teams.,reaction,
to be fair you can't really get a sense for what exactly is going on in the game through the TV you need to be there and sitting near the nosebleeds to really see the structure of the game,reaction,
We all know those people that play a ton of FIFA and think all you need is speed and through balls to score a goal.,reaction,
We all know those people that play a ton of FIFA and think all you need is speed and through balls to score a goal.,reaction,
We can literally access the pass maps after the game. This just sounds like a player being bitter that they’ve gotten found out to be a side pass merchant.,reaction,
He for a fact provides less forward passes mainly because he plays the safest pass or plays the cleanest one seems like more of tactical decision by the manager rather than his own,analysis,
Turkey averaging 72% possession across the first two games and have no points or goals lmaooo,analysis,
62 shots 13 on target in 2 matches and zero goals lol,analysis,
"I know it’s hard to beat 2014 Spain and 2018 Germany as all-time World Cup disappointments as defending champions getting grouped, but wow. This has been an absolutely embarrassing World Cup for Turkey. This was a team that many picked to win this group coming into the tournament, and they just lost two matches without registering a goal. To add salt to the wound, they were eliminated after having a man advantage for an entire half. They still couldn’t score. What an unbelievable bottle job",analysis,
"Really feel for Türkiye. Finally qualify again, look to have a Golden Generation and then lose b2b games nearly the exact same way. And scoring zero from some must score chances to top it off.",analysis,
"I expected a lot more from Turkey at this World Cup. They have some very good players, but the truth is Turkey could have a much stronger team if they invested even more in youth development instead of constantly signing expensive, ageing players. On social media, fans are always with the “come to Beşiktaş”, “come to Fenerbahçe” or “come to Galatasaray” hype, but the focus should really be on developing young Turkish talent who end up sitting on the bench for years just to make room for veterans. A country so passionate and football-obsessed should always be producing top level players",analysis,
"For this World Cup they made head to head the first tiebreaker over goal differential. If they beat the US, they’ll have 3 points, as will the loser of Australia-Paraguay (if no draw). But both Paraguay and Australia hold the head to head tiebreaker over Türkiye. So they have no route to finishing higher than dead last even if they beat the US 15–0.",analysis,
63 shots at goal over 2 matches and could not score. And 45 mins with an extra man. Australia only need a draw to finish 2nd. You beauty.,analysis,
"2 games, 61 shots, 0 goals.",analysis,
"H2H is first tie breaker which they lose to both Australia and Paraguay. They would still have a chance if the first tie breaker was GD, but they are locked in 4th with these rules.",analysis,
"I am really 50/50 on this head-to-head rule. It's just second matchday, and 2 teams have been eliminated. Previously they still would have chances till last matchday. Now there’s 2 dead matches in the last round. I understand why this rule was given preference over goal difference, however we are now looking at probably 3-4 more eliminations before 3rd matchday begins.",analysis,
180 minutes of 60%+ and all they did was shoot from distance and concede 3 goals. Wild.,analysis,
"More than 62 shots in two match and zero goal , what a bad team in term of scoring",hot_take,
What an insane game. 32 shots. 0 goals. 1 player advantage. Like 75% ball possesion.,analysis,
"And it's not only the tactical adjustments teams get to make to break momentum. Soccer is also a game of attrition, it'sabout wearing down your opponents faster than yourself, managing your strength for 90 minutes is key skill. The extra breaks negate that to a large degree.",analysis,
"UEFA have already stated that they won't implement this mandatory ""hydration break"" in their competitions. If there's to be a break, it'll be a decision of the referee, it's got to be at least 32°C and it won't last more than 1 minute.",analysis,
"Apart from the fact that this stops the game for ad breaks, it also allows players to discuss strategy with their coach. We've seen people joke about having 4 quarters now, but that's actually what it is. If players restrategize with the coach then it effectively becomes a quarter. And it sucks.",analysis,
"But hydration breaks have electrolytes, it’s what players crave.",hot_take,
"It's obviously bad for the momentum of the game, it feels like a bonerkiller.",hot_take,
"That would also be a fair description of Fifa, adding nothing while taking away a lot.",hot_take,
I don't think anyone has ever been against cooling breaks if necessary.,hot_take,
Only purpose is to cram as many advertisements into each half as possible,hot_take,
Literally killed momentum in 90% of the games.,hot_take,
They add advertising money,hot_take,
Effortless. Once more proving that there‘s levels to this,hot_take,
Lalas shunned from the juggling circle,hot_take,
Making Lalas look like a tool. Again.,hot_take,
Literally elite ball knowledge.,hot_take,
Thierry is still so smooth it's crazy,hot_take,